candidates,topk,n_evaluated,n_skipped,pipeline_hit,pipeline_ndcg,sasrec_hit,sasrec_ndcg,delta_hit,delta_ndcg,duration_s
20,5,100,0,0.11,0.07027847991330242,0.17,0.1207706669670383,-0.06000000000000001,-0.05049218705373587,1.2
20,10,100,0,0.2,0.09963822626551043,0.22,0.13637393866467776,-0.01999999999999999,-0.03673571239916733,1.2
50,5,100,0,0.07,0.04010065430524243,0.17,0.1207706669670383,-0.1,-0.08067001266179587,1.3
50,10,100,0,0.1,0.04921528416493352,0.22,0.13637393866467776,-0.12,-0.08715865449974423,1.3
